Empresa,1T_Dívida Líquida,1T_EBIT,1T_Lucro Líquido,1T_ROE,1T_Receita Líquida,2T_Dívida Líquida,2T_EBIT,2T_Lucro Líquido,2T_ROE,2T_Receita Líquida,3T_Dívida Líquida,3T_EBIT,3T_Lucro Líquido,3T_ROE,3T_Receita Líquida,Classificação
OIBR3 - 2023,20956798000.0,-102677000.0,-1267087000.0,-5.47,2535792000.0,21232781000.0,-266082000.0,-844524000.0,-3.53,2454171000.0,22719925000.0,-803758000.0,-2830492000.0,-10.55,2421776000.0,1
B3SA3 - 2023,-2501944000.0,1356975000.0,1089458000.0,5.3,2460480000.0,-2834396000.0,1374315000.0,1052942000.0,5.13,2477122000.0,-3353958000.0,1347206000.0,1074307000.0,5.31,2490082000.0,1
COGN3 - 2023,6158625000.0,259730000.0,53920000.0,0.45,1329876000.0,6161440000.0,147387000.0,-64907000.0,-0.39,1386677000.0,6077436000.0,90916000.0,-116656000.0,-0.85,1270040000.0,1
HAPV3 - 2023,7416792000.0,93340000.0,-341550000.0,-0.71,6726190000.0,5848366000.0,63972000.0,-161941000.0,-0.33,6839824000.0,5478116000.0,102898000.0,-206701000.0,-0.42,6881864000.0,1
ITSA4 - 2023,5956000000.0,3323000000.0,2896000000.0,3.8,1712000000.0,5000000000.0,4141000000.0,3691000000.0,4.67,1954000000.0,2824000000.0,3622000000.0,4283000000.0,5.13,1769000000.0,1
ABEV3 - 2023,-8790000000.0,4875600000.0,3819200000.0,4.35,20531700000.0,-8438234000.0,3445417000.0,2597760000.0,2.94,18898114000.0,-13923399000.0,4897578000.0,4015004000.0,4.33,20317765000.0,1
PCAR3 - 2023,3044000000.0,-105000000.0,-195000000.0,-2.17,4496000000.0,2942000000.0,-51000000.0,-352000000.0,-2.43,4755000000.0,2311000000.0,803000000.0,-1286000000.0,-25.82,4742000000.0,0
SOMA3 - 2023,980814000.0,69231000.0,48894000.0,0.65,1202690000.0,1222328000.0,121888000.0,85371000.0,1.13,1295162000.0,1153134000.0,123694000.0,98901000.0,1.29,1364133000.0,1
BHIA3 - 2023,8178000000.0,274000000.0,-297000000.0,-5.86,7354000000.0,7817000000.0,-42000000.0,-492000000.0,-10.67,7489000000.0,7012000000.0,-660000000.0,-836000000.0,-18.85,6590000000.0,1
CMIG4 - 2023,7322212000.0,1859305000.0,1398206000.0,6.13,8646937000.0,8105244000.0,1575671000.0,1245382000.0,5.27,8819517000.0,7937842000.0,1694496000.0,1237307000.0,5.06,9426629000.0,0
